web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616845158-1161","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","","10. Zwierzyniecka 12 Cafe","78 162 24 17","ul. Zwierzyniecka 12","null","Kawiarnie, Śniadanie i brunch, Kawa i herbata"
"1616845207-1293","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=80","86. Cafe Bar Bistro Izabela Młynarek Henryk Młynarek Grodzisk","61 444 65 61","Nowotomyska 13","null","Bary"
"1616845194-1270","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=60","63 . Saloon Cafe 1 Zenon Białas","","Noisy 8","null","Bars"
"1616845177-1220","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=30","39. Cafe Saturn","61 861 51 28","ul. Bukowska 82/84","null","Kawa i herbata, Kawiarnie"
"1616845189-1262","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=50","55 . Przeds Wielobr Cafe Club Wierzbiński Paweł Grec Dorota Maria","","Józefa Ignacego Kraszewskiego 11","null","Groceries"
"1616845189-1265","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=50","58 . Cafe Relax Kłoś Ewa","61 841 17 89","Szpitalna 34","null","Bars"
"1616845183-1237","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","46 . Umberto Cafe & Ristorante","61 851 54 52","ul. Żydowska 28","null","Italian"
"1616845183-1239","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=40","48 . Cafe De Paris","","Franciszek Ratajczak 44","null","Tea rooms"
"1616845171-1196","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=20","25 . Street Cafe","88 300 15 02","ul. Fredry 2","null","$ Cafes"
"1616845165-1180","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie","","https://www.yelp.pl/search?find_desc=cafe&find_loc=%C5%81%C3%B3d%C5%BA%2C%20Wielkopolskie&start=10","19. Cafe Martini","61 224 50 29","ul. Święty Marcin 39","null","$Kawiarnie, Kawa i herbata"
