web-scraper-order,web-scraper-start-url,link,link-href,name,number,street_address,street_town,Cuisine
"1616334259-1413","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","81 . Sopnet Cafe Rigall Krzysztof","","Gen. Kazimierza Pułaskiego 7a","null",""
"1616334233-1356","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","54 . Burdl Rock Cafe Jakub Maciołkowski","","Piecewska 2","null","Bars"
"1616334226-1337","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","45 . Café Wardrobe","","ul. Podwall 2","null","$ Pubs"
"1616334203-1286","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=10","14 . Cafe Kultura","60 807 14 47","ul. Królowej Jadwigi 7","null","$ Cafes , Coffee and Tea"
"1616334233-1353","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","51 . Coffee Style","58 380 11 55","ul. Żółkiewskiego 43A","null","Coffee and tea , Specialty schools , Coffee Roasteries"
"1616334250-1394","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","72 . Cafe Festival","","Bohaterów Monte Cassino 6","null","Bars"
"1616334211-1302","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","30. Piekarnia & Cafe Stary Rynek","","The Old Market Square in Oliwa","null","Piekarnie"
"1616334211-1300","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=20","28. Skwerek Cafe","50 411 69 94","al. John Paul II","null","$Kawa i herbata, Kawiarnie"
"1616334196-1279","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","","7. Kreatywna Cafe","57 073 6000","ul. Słowackiego 19","null","$Kawa i herbata"
"1616334250-1402","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","80 . Contrast Cafe","50 351 64 01","Seaside Boulevard","null","$$ Bars"
"1616334259-1415","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","83 . Lux Cafe Tea Michał Busławski","","Żukczyn, Ul. Gdańska 37b","null","Bars"
"1616334259-1419","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","87 . Gdańsk Główny Railway Station","58 721 31 73","ul. Podwale Grodzkie 2","null","Railway stations"
"1616334233-1362","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","60 . Pellowski Cafe","58 301 45 20","ul. Podwale Staromiejskie 82","null","Tourist services"
"1616334259-1414","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","82 . Resort Cafe","58 555 75 69","Pl. Zdrojowy 3","null",""
"1616334241-1380","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=60","68 . Cafe Ferber","58 551 45 81","ul. Bohaterów Monte Cassino 48","null","$$ Cafes , Coffee & Tea"
"1616334233-1358","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=50","56 . Dorota Zgódka Internet Cafe","","Karmelicka 1","null",""
"1616334226-1338","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=40","46 . Cardamom Cafe","50 270 09 10","ul. Pulaskiego 15","null","Cafes , Coffee and tea"
"1616334259-1421","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=80","89 . Piano Cafe","58 664 94 58","al. Victory 256","null",""
"1616334250-1399","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","77 . Cafe Marineros Andrzej Niewrzawa Jacek Kadela","","Piastów","null","$ Bars"
"1616334250-1397","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C+Pomorskie&ns=1","","https://www.yelp.pl/search?find_desc=cafe&find_loc=Gda%C5%84sk%2C%20Pomorskie&start=70","75 . Cafe Teatr","","Oskar Kolberg 16d / 2","null","Bars"
